day	hour	value
1	1	53
1	2	25
1	3	44
1	4	144
1	5	432
1	6	1093
1	7	1855
1	8	1526
1	9	1003
1	10	874
1	11	956
1	12	973
1	13	970
1	14	891
1	15	890
1	16	1097
1	17	1297
1	18	1254
1	19	979
1	20	488
1	21	318
1	22	224
1	23	146
1	24	82
2	1	42
2	2	26
2	3	56
2	4	132
2	5	392
2	6	1177
2	7	1859
2	8	1596
2	9	1059
2	10	885
2	11	937
2	12	1022
2	13	963
2	14	908
2	15	950
2	16	1071
2	17	1323
2	18	1323
2	19	1014
2	20	617
2	21	406
2	22	302
2	23	200
2	24	82
3	1	25
3	2	23
3	3	42
3	4	107
3	5	320
3	6	942
3	7	1526
3	8	1173
3	9	847
3	10	693
3	11	796
3	12	817
3	13	767
3	14	747
3	15	743
3	16	919
3	17	1006
3	18	1016
3	19	870
3	20	503
3	21	369
3	22	259
3	23	160
3	24	78
4	1	43
4	2	22
4	3	45
4	4	112
4	5	306
4	6	938
4	7	1541
4	8	1273
4	9	871
4	10	676
4	11	765
4	12	741
4	13	747
4	14	710
4	15	750
4	16	889
4	17	1077
4	18	1036
4	19	893
4	20	543
4	21	380
4	22	292
4	23	232
4	24	95
5	1	42
5	2	25
5	3	39
5	4	103
5	5	345
5	6	915
5	7	1540
5	8	1211
5	9	827
5	10	718
5	11	793
5	12	806
5	13	781
5	14	727
5	15	745
5	16	906
5	17	1030
5	18	1050
5	19	945
5	20	654
5	21	444
5	22	474
5	23	391
5	24	192
6	1	79
6	2	41
6	3	43
6	4	91
6	5	212
6	6	373
6	7	522
6	8	649
6	9	681
6	10	689
6	11	760
6	12	648
6	13	526
6	14	687
6	15	765
6	16	798
6	17	866
6	18	934
6	19	815
6	20	576
6	21	479
6	22	486
6	23	468
6	24	196
7	1	126
7	2	79
7	3	47
7	4	57
7	5	147
7	6	176
7	7	293
7	8	502
7	9	532
7	10	637
7	11	689
7	12	596
7	13	493
7	14	589
7	15	839
7	16	992
7	17	1067
7	18	1171
7	19	1047
7	20	709
7	21	586
7	22	437
7	23	214
7	24	88
